ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT
37	969_i	I	Tuja	Tujia	ŋa³⁵	ŋa³⁵	ŋ a ³⁵	nort2732	1209	29.3	109.76		4 7 8	AXT	NA2	42	42.N.C 42.A.V 42.2.T	1.6 3.0 1.0	ŋa³⁵	0	1	ŋ - a ³⁵
38	969_i	I	WrittenBurmese	Burmese (Written)	ŋɑ²	ŋɑ²	ŋ ɑ ²	nucl1310	1209	20.79	93.97		4 7 8	AXT	NA6	43	43.N.C 43.A.V 43.6.T	1.6 3.0 1.0	ŋɑ²	0	1	ŋ - ɑ ²
39	969_i	I	SpokenBurmese	Burmese (Rangoon)	ŋɑ²²	ŋɑ²²	ŋ ɑ ²²	nucl1310	1209	20.79	93.97		4 7 8	AXT	NA1	36	36.N.C 36.A.V 36.1.T	1.6 3.0 1.0	ŋɑ²²	0	1	ŋ - ɑ ²²
40	969_i	I	Achang	Achang (Longchuan)	ŋɔ⁵⁵	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	acha1249	1209	24.35	97.74		4 7 8	AXT	NU5	1	1.N.C 1.U.V 1.5.T	1.6 3.0 1.0	ŋɔ⁵⁵	0	1	ŋ - ɔ ⁵⁵
41	969_i	I	Zaiwa	Zaiwa [Atsi]	ŋo⁵¹	ŋo⁵¹	ŋ o ⁵¹	zaiw1241	1209	24.17	98.36		4 7 8	AXT	NU3	50	50.N.C 50.U.V 50.3.T	1.6 3.0 1.0	ŋo⁵¹	0	1	ŋ - o ⁵¹
42	969_i	I	LhaoVo	Langsu [Maru]	ŋɔ³¹	ŋɔ³¹	ŋ ɔ ³¹	maru1249	1209	24.94	99.83		4 7 8	AXT	NU3	18	18.N.C 18.U.V 18.3.T	1.6 3.0 1.0	ŋɔ³¹	0	1	ŋ - ɔ ³¹
43	969_i	I	Nung	Nu (Fugong) [Anong]	ŋɑ⁵⁵	ŋɑ⁵⁵	ŋ ɑ ⁵⁵	nung1282	1209	27.29	98.73		4 7 8	AXT	NA5	27	27.N.C 27.A.V 27.5.T	1.6 3.0 1.0	ŋɑ⁵⁵	0	1	ŋ - ɑ ⁵⁵
44	969_i	I	Nusu	Nu (Bijiang) [Nusu]	ŋɑ³⁵	ŋɑ³⁵	ŋ ɑ ³⁵	nusu1239	1209	26.73	98.88		4 7 8	AXT	NA2	28	28.N.C 28.A.V 28.2.T	1.6 3.0 1.0	ŋɑ³⁵	0	1	ŋ - ɑ ³⁵
45	969_i	I	Derung	Trung	ŋɑ⁵³	ŋɑ⁵³	ŋ ɑ ⁵³	drun1238	1209	28.01	98.49		4 7 8	AXT	NA3	6	6.N.C 6.A.V 6.3.T	1.6 3.0 1.0	ŋɑ⁵³	0	1	ŋ - ɑ ⁵³
46	969_i	I	Jingpho	Jingpho	ŋai³³	ŋai³³	ŋ ai ³³	jing1260	1209	25.46	97.33		4 7 8	AXT	NA4	15	15.N.C 15.A.V 15.4.T	1.6 3.0 1.0	ŋai³³	0	1	ŋ - ai ³³
