ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Ergong-971_we-1-1,Ergong-971_we-1,ŋɛ_ȵɯ,971_we-12,false,expert,Gao2020,,,
MuyaMinyak-971_we-1-1,MuyaMinyak-971_we-1,ŋɯ⁵⁵_nɯ⁵³,971_we-12,false,expert,Gao2020,,,
ZhebaQueyu-971_we-1-1,ZhebaQueyu-971_we-1,ŋa³⁵_tsho⁵³,971_we-1,false,expert,Gao2020,,,
Guiqiong-971_we-1-1,Guiqiong-971_we-1,ŋɔ³³_zi⁵⁵,971_we-1,false,expert,Gao2020,,,
ErsuGanluo-971_we-1-1,ErsuGanluo-971_we-1,ɑ⁵⁵_rɿ⁵⁵,971_we-1,false,expert,Gao2020,,,
Namuyi-971_we-1-1,Namuyi-971_we-1,ŋa⁵⁵_χo³³,971_we-1,false,expert,Gao2020,,,
ShixingXumi-971_we-1-1,ShixingXumi-971_we-1,ŋɐ⁵⁵_rɛ⁵⁵̃,971_we-1,false,expert,Gao2020,,,
YiXide-971_we-1-1,YiXide-971_we-1,ŋo²¹_ɣo⁴⁴,971_we-1,false,expert,Gao2020,,,
YiDafang-971_we-1-1,YiDafang-971_we-1,ŋo²¹_xɯ³³,971_we-1,false,expert,Gao2020,,,
YiNanjian-971_we-1-1,YiNanjian-971_we-1,o²¹,971_we-22,false,expert,Gao2020,,,
YiNanhua-971_we-1-1,YiNanhua-971_we-1,ɣuᴀ³³_kɯ³³,971_we-23,false,expert,Gao2020,,,
YiMile-971_we-1-1,YiMile-971_we-1,ŋo³³_ɕi²¹,971_we-24,false,expert,Gao2020,,,
MojiangYi-971_we-1-1,MojiangYi-971_we-1,ŋo³³_bɯ²¹,971_we-24,false,expert,Gao2020,,,
Liso-971_we-1-1,Liso-971_we-1,ŋuɑ³³_nu³¹,971_we-12,false,expert,Gao2020,,,
LijangNaxi-971_we-1-1,LijangNaxi-971_we-1,ŋə³³_ŋgɯ³¹,971_we-27,false,expert,Gao2020,,,
YongningNaxi-971_we-1-1,YongningNaxi-971_we-1,ȵɑ⁵⁵_ʐa³³,971_we-1,false,expert,Gao2020,,,
BikaHani-971_we-1-1,BikaHani-971_we-1,ŋɔ³¹_v̩³³,971_we-29,false,expert,Gao2020,,,
HayaHani-971_we-1-1,HayaHani-971_we-1,ŋa⁵⁵_ja³³,971_we-30,false,expert,Gao2020,,,
HaobaiHani-971_we-1-1,HaobaiHani-971_we-1,ŋɔ³³_thi⁵⁵,971_we-31,false,expert,Gao2020,,,
Lahu-971_we-1-1,Lahu-971_we-1,ŋᴀ³¹_xɯ³³,971_we-1,false,expert,Gao2020,,,
Jinou-971_we-1-1,Jinou-971_we-1,ŋa³³_jo³¹,971_we-30,false,expert,Gao2020,,,
DaliBai-971_we-1-1,DaliBai-971_we-1,ŋɑ⁵⁵,971_we-34,false,expert,Gao2020,,,
JianchuanBai-971_we-1-1,JianchuanBai-971_we-1,ŋɑ⁵⁵,971_we-34,false,expert,Gao2020,,,
BijangBai-971_we-1-1,BijangBai-971_we-1,ŋɑ⁵⁵_ɣo⁵⁵,971_we-1,false,expert,Gao2020,,,
Tuja-971_we-1-1,Tuja-971_we-1,a³⁵_ȵi⁵⁵,971_we-12,false,expert,Gao2020,,,
Achang-971_we-1-1,Achang-971_we-1,ŋɔ⁵⁵_tuʔ³¹,971_we-31,false,expert,Gao2020,,,
LhaoVo-971_we-1-1,LhaoVo-971_we-1,ŋɔ³¹̆_na̱uŋ⁵⁵,971_we-12,false,expert,Gao2020,,,
Bokar-971_we-1-1,Bokar-971_we-1,ŋoː_lu,971_we-49,false,expert,Gao2020,,,
Nusu-971_we-1-1,Nusu-971_we-1,ŋɑ³⁵_dɯ³¹,971_we-31,false,expert,Gao2020,,,
IduMishmi-971_we-1-1,IduMishmi-971_we-1,ŋɑ³⁵_ɑ³¹_loŋ³⁵,971_we-49,false,expert,Gao2020,,,
SpokenBurmese-971_we-1-1,SpokenBurmese-971_we-1,ŋɑ²²_to⁵³,971_we-31,false,expert,Gao2020,,,
WrittenBurmese-971_we-1-1,WrittenBurmese-971_we-1,ŋɑ²_to¹,971_we-31,false,expert,Gao2020,,,
Zaiwa-971_we-1-1,Zaiwa-971_we-1,ŋa⁵⁵_moʔ⁵⁵,971_we-31,false,expert,Gao2020,,,
DigaroMishmi-971_we-1-1,DigaroMishmi-971_we-1,ŋ⁵⁵_tɕu³¹,971_we-1,false,expert,Gao2020,,,
Miju-971_we-1-1,Miju-971_we-1,kin⁵⁵,971_we-23,false,expert,Gao2020,,,
Derung-971_we-1-1,Derung-971_we-1,ĩŋ³⁵,971_we-43,false,expert,Gao2020,,,
Puroik-971_we-1-1,Puroik-971_we-1,gə³³_ɣəȵ³³,971_we-27,false,expert,Gao2020,,,
Nung-971_we-1-1,Nung-971_we-1,ɑ³¹_iɯŋ⁵⁵,971_we-43,false,expert,Gao2020,,,
Jingpho-971_we-1-1,Jingpho-971_we-1,an⁵⁵_the³³,971_we-31,false,expert,Gao2020,,,
Tuja-971_we-2-1,Tuja-971_we-2,a³⁵_ȵi⁵⁵,971_we-12,false,expert,Gao2020,,,
TibetanWritten-981_this-1-1,TibetanWritten-981_this-1,ɦdi,981_this-1,false,expert,Gao2020,,,
TibetanLhasa-981_this-1-1,TibetanLhasa-981_this-1,ti¹³,981_this-1,false,expert,Gao2020,,,
TibetanDege-981_this-1-1,TibetanDege-981_this-1,ʔin⁵⁵_de⁵³,981_this-1,false,expert,Gao2020,,,
TibetanXiahe-981_this-1-1,TibetanXiahe-981_this-1,ndə,981_this-1,false,expert,Gao2020,,,
TibetanZeku-981_this-1-1,TibetanZeku-981_this-1,ndə,981_this-1,false,expert,Gao2020,,,
MenbaCuona-981_this-1-1,MenbaCuona-981_this-1,tso¹³,981_this-6,false,expert,Gao2020,,,
MenbaMotuo-981_this-1-1,MenbaMotuo-981_this-1,ʔu_thi,981_this-6,false,expert,Gao2020,,,
QiangMawo-981_this-1-1,QiangMawo-981_this-1,tsaː,981_this-6,false,expert,Gao2020,,,
QiangTaoping-981_this-1-1,QiangTaoping-981_this-1,tsa³³,981_this-6,false,expert,Gao2020,,,
PumiTaoba-981_this-1-1,PumiTaoba-981_this-1,u⁵⁵_ti⁵³,981_this-6,false,expert,Gao2020,,,
PumiQinghua-981_this-1-1,PumiQinghua-981_this-1,di¹³,981_this-6,false,expert,Gao2020,,,
rGyalrongSomo-981_this-1-1,rGyalrongSomo-981_this-1,ʃtə,981_this-6,false,expert,Gao2020,,,
Ergong-981_this-1-1,Ergong-981_this-1,je_thɯ,981_this-6,false,expert,Gao2020,,,
MuyaMinyak-981_this-1-1,MuyaMinyak-981_this-1,a⁵⁵_khɔ⁵³,981_this-14,false,expert,Gao2020,,,
ZhebaQueyu-981_this-1-1,ZhebaQueyu-981_this-1,u⁵⁵,981_this-15,false,expert,Gao2020,,,
Guiqiong-981_this-1-1,Guiqiong-981_this-1,ti⁵⁵_ki⁵⁵,981_this-6,false,expert,Gao2020,,,
ErsuGanluo-981_this-1-1,ErsuGanluo-981_this-1,thɛ⁵⁵,981_this-6,false,expert,Gao2020,,,
Namuyi-981_this-1-1,Namuyi-981_this-1,tɛ⁵⁵,981_this-6,false,expert,Gao2020,,,
ShixingXumi-981_this-1-1,ShixingXumi-981_this-1,hɛ⁵⁵,981_this-19,false,expert,Gao2020,,,
YiXide-981_this-1-1,YiXide-981_this-1,tshɿ⁴⁴,981_this-6,false,expert,Gao2020,,,
YiDafang-981_this-1-1,YiDafang-981_this-1,tshɔ¹³,981_this-6,false,expert,Gao2020,,,
YiNanjian-981_this-1-1,YiNanjian-981_this-1,tʂɑ⁵⁵_tʂhɿ⁵⁵_mɑ⁵⁵,981_this-6,false,expert,Gao2020,,,
YiNanhua-981_this-1-1,YiNanhua-981_this-1,i³³,981_this-23,false,expert,Gao2020,,,
YiMile-981_this-1-1,YiMile-981_this-1,tɕi³³,981_this-6,false,expert,Gao2020,,,
MojiangYi-981_this-1-1,MojiangYi-981_this-1,e⁵⁵,981_this-23,false,expert,Gao2020,,,
Liso-981_this-1-1,Liso-981_this-1,the⁴⁴,981_this-6,false,expert,Gao2020,,,
LijangNaxi-981_this-1-1,LijangNaxi-981_this-1,tʂhɯ³³,981_this-6,false,expert,Gao2020,,,
YongningNaxi-981_this-1-1,YongningNaxi-981_this-1,tʂhɿ³³,981_this-6,false,expert,Gao2020,,,
BikaHani-981_this-1-1,BikaHani-981_this-1,xe³⁵,981_this-29,false,expert,Gao2020,,,
HayaHani-981_this-1-1,HayaHani-981_this-1,ɕi⁵⁵,981_this-30,false,expert,Gao2020,,,
HaobaiHani-981_this-1-1,HaobaiHani-981_this-1,jɛ⁵⁵,981_this-31,false,expert,Gao2020,,,
Lahu-981_this-1-1,Lahu-981_this-1,tshi³³,981_this-6,false,expert,Gao2020,,,
Jinou-981_this-1-1,Jinou-981_this-1,ɕi³³,981_this-30,false,expert,Gao2020,,,
DaliBai-981_this-1-1,DaliBai-981_this-1,tɯ³¹,981_this-6,false,expert,Gao2020,,,
JianchuanBai-981_this-1-1,JianchuanBai-981_this-1,lɯ³¹,981_this-35,false,expert,Gao2020,,,
BijangBai-981_this-1-1,BijangBai-981_this-1,no⁴²_tʂheʴ⁴²,981_this-6,false,expert,Gao2020,,,
Tuja-981_this-1-1,Tuja-981_this-1,kai³⁵,981_this-37,false,expert,Gao2020,,,
WrittenBurmese-981_this-1-1,WrittenBurmese-981_this-1,thɑȵ²,981_this-6,false,expert,Gao2020,,,
SpokenBurmese-981_this-1-1,SpokenBurmese-981_this-1,tθi²²,981_this-6,false,expert,Gao2020,,,
Achang-981_this-1-1,Achang-981_this-1,xai⁵⁵,981_this-29,false,expert,Gao2020,,,
Zaiwa-981_this-1-1,Zaiwa-981_this-1,xji⁵¹,981_this-29,false,expert,Gao2020,,,
LhaoVo-981_this-1-1,LhaoVo-981_this-1,tʃhɛ³¹,981_this-6,false,expert,Gao2020,,,
Nung-981_this-1-1,Nung-981_this-1,iɑ⁵⁵,981_this-43,false,expert,Gao2020,,,
