Grapheme	IPA
khʴ	kʰ ɹ
k|$	k
ms$	m s
m|$	m
m̥ʐ	m̥ ʐ
ndz	ⁿdz
ndʑ	ⁿdʑ
nsh	n sʰ
o|$	o
oː$	oː
o̵̱	ɞ̠/ɞ
phs	pʰ s
phɕ	pʰ ɕ
phʂ	pʰ ʂ
phʃ	pʰ ʃ
phʐ	pʰ ʐ
phʒ	pʰ ʒ
qhs	qʰ s
qhʂ	qʰ ʂ
shw	sʰ w
ths	tsʰ
thw	tʰ w
tjh	tʲʰ
ts$	ts
tsh	tsʰ
tsw	ts w
tsʰ	tsʰ
tɕh	tɕʰ
tɕɕ	tɕ
tɕʰ	tɕʰ
tʂ$	ʈʂ
tʂh	ʈʂʰ
tʂʰ	ʈʂʰ
tʃ$	tʃ
tʃh	tʃʰ
tʃʰ	tʃʰ
tθw	tθ w
uai	w ai
uaʴ	w a˞
uei	w ei
ueʴ	w e˞
ue̱	w e̠/e
uiʴ	w i˞
uɑi	w ɑi
uɑʴ	w ɑ˞
uɑː	w ɑː
uɑ̃	w ɑ̃
uɑ̄	w ɑ̄/ɑ
uɛi	w ɛi
uʴ$	u˞
uː$	uː
u̪$	u̪/u
u̵$	ʉ
uṁ$	ũ
uẽĩ	w ẽi
vɕh	v ɕʰ
v̩̱	v̠̩
v̱̩	v̠̩
xʂ$	x ʂ
²1$	²¹
²²$	²²
²²◦	²² +
²¹$	²¹
²¹|	²¹ +
²¹◦	²¹ +
²⁴$	²⁴
²⁴¹	²⁴¹ +
³³$	³³
³³|	³³ +
³³◦	³³ +
³¹$	³¹
³¹|	³¹ +
³¹ᵊ	³¹ +
³¹◦	³¹ +
³⁵$	³⁵
³⁵|	³⁵ +
³⁵◦	³⁵ +
¹³$	¹³
¹³-	¹³ +
¹³|	¹³ +
¹³◦	¹³ +
¹¹$	¹¹
¹⁵$	¹⁵
¹⁵-	¹⁵ +
²⁴¹_	²⁴¹ +
³³|_	³³ +
³¹ᵊ_	³¹ +
¹³-_	¹³ +
¹³|_	¹³ +
¹⁵-_	¹⁵ +
ă̱̱	ă̠/a
ŋs$	ŋ s
ŋ|$	ŋ
ŋ̩$	ŋ̍
ŏ̱̆	ŏ̠/o
ŏ̱̱	ŏ̠/o
ȶɕh	tɕʰ
ɐʴ$	ɐ˞
ɑɪ̃	ɑ̃ i
ɑʴ$	ɑ˞
ɑ̃ʴ	ɑ̃˞
ɑ̄ʴ	ɑ̄˞/ɑ˞
ɑ̆ʴ	ɑ˞̆/ɑ˞
ɑ̱ʴ	ɑ˞̠/ɑ˞
ɔ̃ʴ	ɔ̃˞
ɔ̱̃	ɔ̠̃/ɔ̃
ə:$	əː
əʴ$	ə˞
əː$	əː
əːʴ	ə˞ː
ə̃ʴ	ə̃˞
ɛʴ$	ɛ˞
ɛː$	ɛː
ɛ̃$	ɛ̃
ɛ̱ʴ	ɛ˞̠/ɛ˞
ɛ̱̃	ɛ̠̃/ɛ˞
ɯ|$	ɯ
ɯʴ$	ɯ˞
ɯː$	ɯː
ɯ̆ʴ	ɯ˞̆/ɯ˞
ˌv̱	v̠̩
⁵_	⁵ +
¹_	¹ +
²_	² +
³_	³ +
⁴_	⁴ +
_	+
_$	NULL
^_	NULL
ᴀ̱̃	ã̠/ã
ẽɪ̃	ẽ ɪ
⁴²$	⁴²
⁴²|	⁴² +
⁴¹$	⁴¹
⁴¹|	⁴¹ +
⁴⁴$	⁴⁴
⁴⁴◦	⁴⁴ +
⁵³$	⁵³
⁵³-	⁵³ +
⁵³|	⁵³ +
⁵³¹	³¹ +
⁵³◦	⁵³ +
⁵¹$	⁵¹
⁵⁴$	⁵⁴
⁵⁵$	⁵⁵
⁵⁵-	⁵⁵ +
⁵⁵|	⁵⁵ +
⁵⁵◦	⁵⁵ +
3³¹$	³³¹
^a̱u	a̠/au
^hsw	sʷʰ
^iɑu	j ɑu
^khs	kʰ s
^khw	kʰ w
^khɕ	kʰ ɕ
^khʂ	kʰ ʂ
^khʐ	kʰ ʐ
^khʒ	kʰ ʒ
^m̥w	m̥ w
^m̥ʐ	m̥ ʐ
^ndz	ⁿdz
^ndʑ	ⁿdʑ
^nsh	n sʰ
^n̥w	n̥ w
^phs	pʰ s
^phw	pʰ w
^phʂ	pʰ ʂ
^phʐ	pʰ ʐ
^phʒ	pʰ ʒ
^qhs	qʰ s
^qhʂ	qʰ ʂ
^rsh	r sʰ
^ths	tsʰ
^thw	tʰ w
^tsh	tsʰ
^tsʰ	tsʰ
^tɕh	tɕʰ
^tɕw	tɕ w
^tɕʰ	tɕʰ
^tʂh	ʈʂʰ
^tʃh	tʃʰ
^tʃʰ	tʃʰ
^tʑh	tɕʰ
^uai	w ai
^ueʴ	w e˞
^v̩̱	v̠̩
^wsh	w sʰ
^ɔ̱̃	ɔ̠̃/ɔ̃
aːʴ$	a˞ː
iɑ̃u	i ãu
mm³¹	m m̩ ³¹
uɑːʴ	w ɑ˞ː
uɑ̃ʴ	w ɑ̃˞
uːʴ$	u˞ː
u̱i̱	u̠i̱/ui
uẽɪ̃	w ẽɪ
²¹|$	²¹
²¹◦◦	+
²⁴¹$	²⁴¹
³³|$	³³
³¹|$	³¹
³⁵|$	³⁵
¹⁵⁵$	¹⁵⁵
ɑːʴ$	ɑ˞ː
ɑ̱̃ʴ	ɑ̃˞̠/ɑ̃˞
əːʴ$	ə˞ː
⁵³|$	⁵³
⁵³⁵$	⁵³⁵
⁵⁵|$	⁵⁵
⁵⁶⁵$	⁵⁵
^tshw	tsʰ w
^tɕhw	tɕʰ w
³³_$	³³
⁵⁵_$	⁵⁵
⁴⁴_$	⁴⁴
²¹_$	²¹
²?$	²
³³_??	³³
⁵³___????	⁵³
¹³_$	¹³
__??$	NULL
³¹_$	³¹
⁵⁵___!!!!!	⁵⁵
⁵⁵___???$	⁵⁵
__tone??	NULL
⁵⁵__	⁵⁵ +
¹⁵_-_	¹⁵ +
