SID	SWADESH	YAKHONTOV	ENGLISH	CHINESE	LANGUAGE	COGNATE	FORM	CONCEPTICON_ID	CONCEPTICON_GLOSS
981	4	85	this	这	5	1	ndə		
981	4	85	this	这	6	6	tso¹³		
981	4	85	this	这	7	6	ʔu thi; ʔu hu		
981	4	85	this	这	8	6	tsaː		
981	4	85	this	这	9	6	tsa³³		
981	4	85	this	这	10	6	u⁵⁵ ti⁵³		
981	4	85	this	这	11	6	di¹³		
981	4	85	this	这	12	6	ʃtə		
981	4	85	this	这	13	6	je thɯ		
981	4	85	this	这	14	14	a⁵⁵ khɔ⁵³		
981	4	85	this	这	15	15	u⁵⁵		
981	4	85	this	这	16	6	ti⁵⁵ ki⁵⁵		
981	4	85	this	这	17	6	thɛ⁵⁵		
981	4	85	this	这	18	6	tɛ⁵⁵		
981	4	85	this	这	19	19	hɛ⁵⁵		
981	4	85	this	这	20	6	tshɿ⁴⁴		
981	4	85	this	这	21	6	tshɔ¹³		
981	4	85	this	这	22	6	tʂɑ⁵⁵ tʂhɿ⁵⁵ mɑ⁵⁵		
981	4	85	this	这	23	23	i³³		
981	4	85	this	这	24	6	tɕi³³		
981	4	85	this	这	25	23	e⁵⁵		
981	4	85	this	这	26	6	the⁴⁴		
981	4	85	this	这	27	6	tʂhɯ³³		
981	4	85	this	这	28	6	tʂhɿ³³		
981	4	85	this	这	29	29	xe³⁵		
981	4	85	this	这	30	30	ɕi⁵⁵		
981	4	85	this	这	31	31	jɛ⁵⁵		
981	4	85	this	这	32	6	tshi³³		
981	4	85	this	这	33	30	ɕi³³		
981	4	85	this	这	34	6	tɯ³¹		
981	4	85	this	这	35	35	lɯ³¹		
981	4	85	this	这	36	6	no⁴² tʂheʴ⁴²		
981	4	85	this	这	37	37	kai³⁵		
981	4	85	this	这	38	6	thɑȵ²		
981	4	85	this	这	39	6	tθi²²; di²²		
981	4	85	this	这	40	29	xai⁵⁵		
981	4	85	this	这	41	29	xji⁵¹		
981	4	85	this	这	42	6	tʃhɛ³¹		
981	4	85	this	这	43	43	iɑ⁵⁵		
981	4	85	this	这	44	44	ɕi³¹ du³⁵		
981	4	85	this	这	45	45	ɟɑ⁵⁵		
981	4	85	this	这	46	46	n̩³³ tai³³		
981	4	85	this	这	47	47	ɑn⁵⁵		
981	4	85	this	这	48	48	e⁵⁵		
981	4	85	this	这	49	48	i⁵⁵ he⁵⁵		
981	4	85	this	这	50	30	ɕiː		
981	4	85	this	这	51	51	həŋ³³		
983	5	83	that	那	1	1	de		
983	5	83	that	那	2	1	the¹³		
983	5	83	that	那	3	1	phen⁵⁵ de⁵³		
983	5	83	that	那	4	4	kan		
983	5	83	that	那	5	4	ka		
983	5	83	that	那	6	6	mo¹³		
983	5	83	that	那	7	7	ʔu ȵi		
983	5	83	that	那	8	1	thaː		
983	5	83	that	那	9	1	tha³³		
983	5	83	that	那	10	1	ti³⁵		
983	5	83	that	那	11	1	tə¹³		
983	5	83	that	那	12	12	wu tə		
983	5	83	that	那	13	13	ɛ lɯ		
983	5	83	that	那	14	14	a⁵⁵ khɔ⁵³		
983	5	83	that	那	15	13	a³⁵		
983	5	83	that	那	16	4	ji⁵⁵ ki⁵⁵		
983	5	83	that	那	17	1	ɑ³³ thɛ⁵⁵		
983	5	83	that	那	18	4	χɛ³³		
983	5	83	that	那	19	19	tɛi⁵⁵ thi³³		
983	5	83	that	那	20	1	a³³ di⁵⁵		
983	5	83	that	那	21	21	ɯ⁵⁵		
